Class,DN,Flange OD A (mm),Flange Thickness D (mm),Bore SOW SW B (mm),Raised Face Diam. G (mm),"SOW, SW Threaded C (mm)",W Neck C (mm),Circle Diam. K (mm),Hole Diam. H (mm),Bolts No.,RF Stud Bolt Length (mm),RF Mach. Bolt Length (mm)
150,15,88.9,11.2,22.4,35.1,15.8,47.8,60.4,15.7,4,60,45
150,20,98.6,12.7,27.7,42.9,15.8,52.3,69.9,15.7,4,65,50
150,25,108,14.2,34.5,50.8,17.5,55.6,79.2,15.7,4,65,55
150,32,117.3,15.7,43.2,63.5,20.6,57.2,88.9,15.7,4,70,55
150,40,127,17.5,49.5,73.2,22.4,62,98.6,15.7,4,70,60
150,50,152.4,19.1,62,91.9,25.5,63.5,120.7,19.1,4,80,65
150,65,177.8,22.4,74.7,104.6,28.5,69.9,139.7,19.1,4,90,75
150,80,190.5,23.9,90.7,127,30.2,69.9,152.4,19.1,4,90,75
150,90,215.9,23.9,103.4,139.7,31.8,71.4,177.8,19.1,8,90,75
150,100,228.6,23.9,116.1,157.2,33.3,76.2,190.5,19.1,8,90,75
150,125,254,23.9,143.8,185.7,36.6,88.9,215.9,22.4,8,90,80
150,150,279.4,25.4,170.7,215.9,39.6,88.9,241.3,22.4,8,100,85
150,200,342.9,28.4,221.5,269.7,44.5,101.6,298.5,22.4,8,110,90
150,250,406.4,30.2,276.4,323.9,49.3,101.6,362,25.4,12,115,95
150,300,482.6,31.8,327.2,381,55.6,114.3,431.8,25.4,12,120,100
150,350,533.4,35.1,359.2,412.8,57.2,127,476.3,28.4,12,130,110
150,400,596.9,36.6,410.5,469.9,63.5,127,539.8,28.4,16,135,115
150,450,635,39.6,461.8,533.4,68.3,139.7,577.9,31.8,16,150,125
150,500,698.5,42.9,513.1,584.2,73.2,144.5,635,31.8,20,160,135
150,600,812.8,47.8,616,692.2,82.6,152.4,749.3,35.1,20,175,145
300,15,95.3,14.2,22.4,35.1,22.4,52.3,66.5,15.7,4,65,55
300,20,117.3,15.7,27.7,42.9,25.4,57.2,82.6,19.1,4,75,60
300,25,124,17.5,34.5,50.8,26.9,62,88.9,19.1,4,80,65
300,32,133.4,19.1,43.2,63.5,26.9,65,98.6,19.1,4,80,65
300,40,155.5,20.6,49.5,73.2,30.2,68.3,114.3,22.4,4,90,75
300,50,165.1,22.4,62,91.9,33.3,69.9,127,19.1,8,90,75
300,65,190.5,25.4,74.7,104.6,38.1,76.2,149.4,22.4,8,100,85
300,80,215.9,28.4,90.7,127,42.9,79.2,168.1,22.4,8,110,90
300,90,228.6,30.2,103.4,139.7,44.5,81,184.2,22.4,8,110,95
300,100,254,31.8,116.1,157.2,47.8,85.9,200.2,22.4,8,110,95
300,125,279.4,35.1,143.8,185.7,50.8,98.6,235,22.4,8,120,100
300,150,317.5,36.6,170.7,215.9,52.3,98.6,269.7,22.4,12,125,105
300,200,381,41.1,221.5,269.7,62,112.3,330.2,25.4,12,140,110
300,250,444.5,47.6,276.4,323.9,66.5,117.3,387.4,28.4,16,155,130
300,300,520.7,50.8,327.2,381,73.2,130,450.9,31.8,16,170,145
300,350,584.2,53.8,359.2,412.8,76.2,142.7,514.4,31.8,20,175,150
300,400,647.7,57.2,410.5,469.9,82.6,146.1,571.5,35.1,20,190,160
300,450,711.2,60.5,461.8,533.4,88.9,158.8,626.7,35.1,24,195,170
300,500,774.7,63.5,513.1,584.2,95.3,162.1,685.8,35.1,24,205,180
300,600,914.4,70,616,692.2,106.4,168.1,812.8,41.1,24,230,195
600,15,95.3,14.2,22.4,35.1,22.4,52.3,66.5,15.7,4,80,0.7
600,20,117.3,15.7,27.7,42.9,25.4,57.2,82.6,19.1,4,90,1.3
600,25,124,17.5,34.5,50.8,26.9,62,88.9,19.1,4,90,1.5
600,32,133.4,20.6,43.2,63.5,28.4,66.5,98.6,19.1,4,100,2
600,40,155.4,22.4,49.5,73.2,31.8,69.9,114.3,22.4,4,105,3
600,50,165.1,25.4,62,91.9,36.6,73.2,127,19.1,8,105,3.6
600,65,190.5,28.4,74.7,104.6,41.1,79.2,149.4,22.4,8,120,5.3
600,80,209.6,31.8,90.7,127,46,82.6,168.1,22.4,8,125,7
600,90,228.6,35.1,103.4,139.7,49.3,85.9,184.2,25.4,8,140,8.8
600,100,273.1,38.1,116.1,157.2,53.8,101.6,215.9,25.4,8,145,14.5
600,125,330.2,44.5,143.8,185.7,60.5,114.3,266.7,28.4,8,165,24.4
600,150,355.6,47.8,170.7,215.9,66.5,117.3,292.1,28.4,12,170,28.7
600,200,419.1,55.6,221.5,269.7,76.2,133.4,349.3,31.8,12,195,43.4
600,250,508,63.5,276.4,323.9,85.9,152.4,431.8,35.1,16,215,70.3
600,300,558.8,66.5,327.2,381,91.9,155.4,489,35.1,20,220,84.2
600,350,603.3,69.9,359.2,412.8,93.7,165.1,527.1,38.1,20,235,98.7
600,400,685.8,76.2,410.5,469.9,106.4,177.8,603.3,41.1,20,255,142
600,450,743,82.6,461.8,533.4,117.3,184.2,654.1,44.5,20,275,173
600,500,812.8,88.9,513.1,584.2,127,190.5,723.9,44.5,24,290,220
600,600,939.8,101.6,616,692.2,139.7,203.2,838.2,50.8,24,330,312
