Class,DN,Flange OD A (mm),Flange Thickness D (mm),Raised Face Diam. G (mm),W Neck C (mm)
150,50,152.4,19.1,91.9,63.5
150,65,177.8,22.4,104.6,69.9
150,80,190.5,23.9,127.0,69.9
150,90,215.9,23.9,139.7,71.4
150,100,228.6,23.9,157.2,76.2
150,125,254.0,23.9,185.7,88.9
150,150,279.4,25.4,215.9,88.9
150,200,342.9,28.4,269.7,101.6
150,250,406.4,30.2,323.9,101.6
150,300,482.6,31.8,381.0,114.3
150,400,596.9,36.6,469.9,127.0
300,50,165.1,22.4,91.9,69.9
300,65,190.5,25.4,104.6,76.2
300,80,215.9,28.4,127.0,79.2
300,90,228.6,30.2,139.7,81.0
300,100,254.0,31.8,157.2,85.9
300,125,279.4,35.1,185.7,98.6
300,150,317.5,36.6,215.9,98.6
300,200,381.0,41.1,269.7,112.3
300,250,444.5,47.6,323.9,117.3
300,300,520.7,50.8,381.0,130.0
300,400,647.7,57.2,469.9,146.1
600,50,165.1,25.4,91.9,73.2
600,65,190.5,28.4,104.6,79.2
600,80,209.6,31.8,127.0,82.6
600,90,228.6,35.1,139.7,85.9
600,100,273.1,38.1,157.2,101.6
600,125,330.2,44.5,185.7,114.3
600,150,355.6,47.8,215.9,117.3
600,200,419.1,55.6,269.7,133.4
600,250,508.0,63.5,323.9,152.4
600,300,558.8,66.5,381.0,155.4
600,400,685.8,76.2,469.9,177.8
