Schedule Number,Pipe DN,Outside Diamter (mm),Wall Thickness (mm)
40.0,50,60.3,3.91
80.0,50,60.3,5.54
40.0,65,73.0,5.16
80.0,65,73.0,7.01
40.0,80,88.9,5.49
80.0,80,88.9,7.62
40.0,90,101.6,5.74
80.0,90,101.6,8.08
40.0,100,114.3,6.02
80.0,100,114.3,8.56
40.0,125,141.3,6.55
80.0,125,141.3,9.53
40.0,150,168.3,7.11
80.0,150,168.3,10.97
40.0,200,219.1,8.18
80.0,200,219.1,12.7
40.0,250,273.0,9.27
80.0,250,273.0,15.09
40.0,300,323.8,10.31
80.0,300,323.8,17.48
40.0,400,406.4,12.7
80.0,400,406.4,21.44
STD,50,60.3,3.91
XS,50,60.3,5.54
XXS,50,60.3,11.07
STD,65,73.0,5.16
XS,65,73.0,7.01
XXS,65,73.0,14.02
STD,80,88.9,5.49
XS,80,88.9,7.62
XXS,80,88.9,15.24
STD,90,101.6,5.74
XS,90,101.6,8.08
STD,100,114.3,6.02
XS,100,114.3,8.56
XXS,100,114.3,17.12
STD,125,141.3,6.55
XS,125,141.3,9.53
XXS,125,141.3,19.05
STD,150,168.3,7.11
XS,150,168.3,10.97
XXS,150,168.3,21.95
STD,200,219.1,8.18
XS,200,219.1,12.7
XXS,200,219.1,22.23
STD,250,273.0,9.27
XS,250,273.0,12.7
XXS,250,273.0,25.4
STD,300,323.8,9.53
XS,300,323.8,12.7
XXS,300,323.8,25.4
STD,400,406.4,9.53
XS,400,406.4,12.7
