Identification,Schedule Number,Pipe DN,Outside Diamter (mm),Wall Thickness (mm)
,5.0,50,60.3,1.65
,10.0,50,60.3,2.77
,30.0,50,60.3,3.18
STD,40.0,50,60.3,3.91
XS,80.0,50,60.3,5.54
,160.0,50,60.3,8.74
XXS,XXS,50,60.3,11.07
,5.0,65,73.0,2.11
,10.0,65,73.0,3.05
,30.0,65,73.0,4.78
STD,40.0,65,73.0,5.16
XS,80.0,65,73.0,7.01
,160.0,65,73.0,9.53
XXS,XXS,65,73.0,14.02
,5.0,80,88.9,2.11
,10.0,80,88.9,3.05
,30.0,80,88.9,4.78
STD,40.0,80,88.9,5.49
XS,80.0,80,88.9,7.62
,160.0,80,88.9,11.13
XXS,XXS,80,88.9,15.24
,5.0,90,101.6,2.11
,10.0,90,101.6,3.05
,30.0,90,101.6,4.78
STD,40.0,90,101.6,5.74
XS,80.0,90,101.6,8.08
,5.0,100,114.3,2.11
,10.0,100,114.3,3.05
,30.0,100,114.3,4.78
STD,40.0,100,114.3,6.02
XS,80.0,100,114.3,8.56
,120.0,100,114.3,11.13
,160.0,100,114.3,13.49
XXS,XXS,100,114.3,17.12
,5.0,125,141.3,2.77
,10.0,125,141.3,3.4
STD,40.0,125,141.3,6.55
XS,80.0,125,141.3,9.53
,120.0,125,141.3,12.7
,160.0,125,141.3,15.88
XXS,XXS,125,141.3,19.05
,5.0,150,168.3,2.77
,10.0,150,168.3,3.4
STD,40.0,150,168.3,7.11
XS,80.0,150,168.3,10.97
,120.0,150,168.3,14.27
,160.0,150,168.3,18.26
XXS,XXS,150,168.3,21.95
,5.0,200,219.1,2.77
,10.0,200,219.1,3.76
,20.0,200,219.1,6.35
,30.0,200,219.1,7.04
STD,40.0,200,219.1,8.18
,60.0,200,219.1,10.31
XS,80.0,200,219.1,12.7
,100.0,200,219.1,15.09
,120.0,200,219.1,18.26
,140.0,200,219.1,20.62
XXS,XXS,200,219.1,22.23
,160.0,200,219.1,23.01
,5.0,250,273.0,3.4
,10.0,250,273.0,4.19
,20.0,250,273.0,6.35
,30.0,250,273.0,7.8
STD,40.0,250,273.0,9.27
XS,60.0,250,273.0,12.7
,80.0,250,273.0,15.09
,100.0,250,273.0,18.26
,120.0,250,273.0,21.44
XXS,140.0,250,273.0,25.4
,160.0,250,273.0,28.58
,5.0,300,323.8,3.96
,10.0,300,323.8,4.57
,20.0,300,323.8,6.35
,30.0,300,323.8,8.38
STD,STD,300,323.8,9.53
,40.0,300,323.8,10.31
XS,XS,300,323.8,12.7
,60.0,300,323.8,14.27
,80.0,300,323.8,17.48
,100.0,300,323.8,21.44
XXS,120.0,300,323.8,25.4
,140.0,300,323.8,28.58
,160.0,300,323.8,33.32
,5.0,400,406.4,4.19
,10.0,400,406.4,6.35
,20.0,400,406.4,7.92
STD,30.0,400,406.4,9.53
XS,40.0,400,406.4,12.7
,60.0,400,406.4,16.66
,80.0,400,406.4,21.44
,100.0,400,406.4,26.19
,120.0,400,406.4,30.96
,140.0,400,406.4,36.53
,160.0,400,406.4,40.49
